Method,Endpoint,Full URL,Required Data Fields,Authentication,Description
POST,/api/otp/send,{{base_url}}/otp/send,identifier,Not Required,Send OTP to email/phone for signup/login
POST,/api/otp/verify,{{base_url}}/otp/verify,"identifier, otp",Not Required,Verify OTP and get JWT token
POST,/api/auth/google,{{base_url}}/auth/google,google_token,Not Required,Google OAuth login
POST,/api/password,{{base_url}}/password,password related,Not Required,Create/Reset password
POST,/api/set_password,{{base_url}}/set_password,new_password,Bearer Token,Set new password
POST,/api/accounts,{{base_url}}/accounts,"first_name, last_name, email, phone, country_code, google_signup",Not Required,Create new account
GET,/api/accounts/:id,{{base_url}}/accounts/:id,none,Bearer Token,Get account profile by ID
PUT,/api/accounts/:id,{{base_url}}/accounts/:id,first_name and other fields,Bearer Token,Update account profile
DELETE,/api/accounts/:id,{{base_url}}/accounts/:id,none,Bearer Token,Delete account
PATCH,/api/accounts/:id/block,{{base_url}}/accounts/:id/block,none,Bearer Token,Block an account
PATCH,/api/accounts/:id/unblock,{{base_url}}/accounts/:id/unblock,none,Bearer Token,Unblock an account
GET,/api/accounts/:account_id/addresses,{{base_url}}/accounts/:account_id/addresses,none,Bearer Token,List all addresses for account
POST,/api/accounts/:account_id/addresses,{{base_url}}/accounts/:account_id/addresses,"label, address_line1, city, state, postal_code, phone, address_type, default",Bearer Token,Create new address
GET,/api/accounts/:account_id/addresses/:id,{{base_url}}/accounts/:account_id/addresses/:id,none,Bearer Token,Get specific address
PUT,/api/accounts/:account_id/addresses/:id,{{base_url}}/accounts/:account_id/addresses/:id,"label, address_line1, city, state, postal_code, phone, address_type, default",Bearer Token,Update address
DELETE,/api/accounts/:account_id/addresses/:id,{{base_url}}/accounts/:account_id/addresses/:id,none,Bearer Token,Delete address
GET,/api/cart,{{base_url}}/cart,none,Bearer Token,Get shopping cart
POST,/api/cart_items,{{base_url}}/cart_items,"product_variant_id, quantity",Bearer Token,Add item to cart
PUT,/api/cart_items/:id,{{base_url}}/cart_items/:id,quantity,Bearer Token,Update cart item quantity
DELETE,/api/cart_items/:id,{{base_url}}/cart_items/:id,none,Bearer Token,Remove item from cart
POST,/api/admin/login,{{base_url}}/admin/login,"email, password",Not Required,Admin login
POST,/api/admin/forgot_password,{{base_url}}/admin/forgot_password,email,Not Required,Request admin password reset
POST,/api/admin/otp_confirmation,{{base_url}}/admin/otp_confirmation,"email, otp",Not Required,Confirm admin OTP
POST,/api/admin/reset_password,{{base_url}}/admin/reset_password,"email, new_password",Not Required,Reset admin password
